model_name,epoch,train_loss,val_loss,train_mae,val_mae,trial,learning_rate,max_depth,max_leaf_nodes,min_samples_leaf,l2_regularization,iterations,val_rmse
mlp,92.0,7526127.5,4403316.5,2155.45458984375,1758.5655517578125,,,,,,,,
mlp,93.0,7481811.5,4364967.5,2145.532470703125,1748.0888671875,,,,,,,,
mlp,94.0,7436947.0,4326156.0,2135.424072265625,1737.4124755859375,,,,,,,,
mlp,95.0,7391553.0,4286903.0,2125.173095703125,1726.6201171875,,,,,,,,
mlp,96.0,7345630.5,4247206.0,2114.732666015625,1715.6334228515625,,,,,,,,
mlp,97.0,7299198.0,4207083.5,2104.148681640625,1704.4456787109375,,,,,,,,
mlp,98.0,7252269.0,4166540.5,2093.374267578125,1693.0543212890625,,,,,,,,
mlp,99.0,7204844.0,4125588.5,2082.413330078125,1681.45751953125,,,,,,,,
mlp,100.0,7156932.5,4084229.25,2071.338623046875,1669.651611328125,,,,,,,,
hgbr,,,,,852.075953649333,1.0,0.03,3.0,15.0,10.0,0.0,61.0,1157.946132678102
hgbr,,,,,864.518525454461,2.0,0.05,3.0,15.0,10.0,0.1,55.0,1187.7095425500613
hgbr,,,,,889.073483123373,3.0,0.05,4.0,31.0,8.0,0.0,49.0,1198.6464213024299
hgbr,,,,,889.3019405764849,4.0,0.08,3.0,31.0,5.0,0.1,33.0,1200.0237722365853
hgbr,,,,,990.4120117789417,5.0,0.1,,15.0,5.0,0.0,27.0,1348.0667947393174
